Rohit Sharma | Man of the match: It was an important game, a decider," and we wanted to just enjoy ourselves. To keep that Australian batting line-up to less than 290 was impressive. Once KL got out, we knew we needed to stitch together a big partnership, and no better person than the captain himself to do that. It was important to get that partnership from the team's perspective. We had that talk in the middle - one of the two of us needs to continue, and we couldn't lose the momentum, especially after the 100-run stand. I was middling and seeing it well, so I said I wanted to play my shots, and take the risks. It came off today, but if we had lost wickets, things would be different. Australia always comes up with good bowling attacks. Their top three quick bowlers challenge you, they've got variety and skills. In the first two games I was trying something different and it didn't come off. Today I just wanted to be there till the end, around the 35th over, and I was trying to push the run-rate forward because I was seeing it really well, but it didn't come off because I miscued one."
Hazlewood to Manish Pandey, FOUR," he's almost taken Hazlewood's head off in crunching this half-volley straight down the ground for four as India seal this series 2-1! That, after being 0-1 down, in the worst way possible."
Hazlewood to Manish Pandey, wide," attempted bouncer, doesn't bounce, and it's down the leg-side - 2 to win now"
Hazlewood to Manish Pandey, no run," sticks on the wicket from a back of a length, fended off into the on-side"
Hazlewood to Manish Pandey, FOUR," that is a terrific shot to an in-tailing attempted yorker, Manish Pandey stands his grounds and drives that to the long-off fence for four"
Starc to Shreyas Iyer, no run," fuller length ball on the pads, clipped to the left of short midwicket where Turner dives to cut it off"
Starc to Shreyas Iyer, no run," low full-toss on off, driven straight to mid-off"
Starc to Shreyas Iyer, 2 runs," 143.7km/h, doesn't overpitch exactly but Shreyas Iyer trusts the bounce to drive that through the line towards deep extra cover for a couple"
Starc to Shreyas Iyer, no run," similar delivery on off-stump, and that's pushed a little straighter, wide of the mid-on fielder, but he dives to cut it off"
Starc to Shreyas Iyer, no run," fuller length delivery on off, clipped towards mid-on"
Starc to Shreyas Iyer, FOUR," this is a remarkable shot. Beyond belief. He's picked up the line and length of a 141.5km/h Starc delivery and almost laced that over sweeper cover for six! Lands just short, and it's given a boundary"
Hazlewood to Manish Pandey, no run," fuller length delivery just outside off, dug out towards cover"
Hazlewood to Kohli, no run," into the blockhole, good response, and that's dug out towards wide mid-on"
Hazlewood to Kohli, FOUR," King Kong's on a rampage! Charges down with no respect for the quick bowler, and pulls it away towards cow corner for four!"
Hazlewood to Shreyas Iyer, 1 run," good length ball just outside off, 129.3km/h, Shreyas Iyer drives this away towards sweeper cover for a single"
Hazlewood to Kohli, 1 run," angling in from a good length towards the pads, swatted away fine towards long leg for a single"
Josh Hazlewood [8.0-1-40-0] is back into the attack, 1 run," angling in from a good length towards the pads, swatted away fine towards long leg for a single"
Starc to Shreyas Iyer, FOUR," 144.3km/h, full and wide outside off, Shreyas Iyer just backs away and tosses with off his frying pan of a bat over the in-field to the deep extra cover fence for four"
Starc to Shreyas Iyer, SIX," that is an outrageous hit! 137.3km/h on that short ball, the ball doesn't climb, and he's adjusted so well - short-arm pulls that, like you would a spinner, and carts it over cow corner for six!"
Starc to Kohli, 1 run," short ball again, Kohli gets on his knee and just swat-hooks it away towards, dragging it from outside off-stump towards deep square leg for a single"
Starc to Kohli, no run," rises steeply outside off at 138.7km/h, Kohli jumps and tries to slap it cross-batted towards long-off, gets a thick under-edge towards the bowler"
Starc to Shreyas Iyer, 1 run," short of length ball angling away at 139.8km/h, Shreyas Iyer is on his toes to punch it away towards sweeper cover for a single"
Starc to Shreyas Iyer, 2 runs," 143.1km/h, good length delivery on the pads, nudged away towards long-on for a couple as the fielder at mid-on deflects it away on the dive"
Mitchell Starc [7.0-0-46-0] is back into the attack, 2 runs," 143.1km/h, good length delivery on the pads, nudged away towards long-on for a couple as the fielder at mid-on deflects it away on the dive"
Starc back in. He's fiddling with his right boot's spikes. Expect some flames coming Iyer's way this over. And Kohli's., 2 runs," 143.1km/h, good length delivery on the pads, nudged away towards long-on for a couple as the fielder at mid-on deflects it away on the dive"
Australia tonightSpinners: 22-0-102-2 (ER 4.63)Seamers: 22-1-150-0 (ER 6.81), 2 runs," 143.1km/h, good length delivery on the pads, nudged away towards long-on for a couple as the fielder at mid-on deflects it away on the dive"
Zampa to Shreyas Iyer, 1 run," not particularly short, but it slows off the wicket, punched away square of the wicket by Iyer for a single"
Zampa to Shreyas Iyer, no run," tossed up on off, Shreyas Iyer gets forward and pushes it to short cover"
Zampa to Shreyas Iyer, no run," Zampa drops his handkershief, bowls the skidder and Shreyas Iyer is hurried onto the backfoot to push it back to the bowler"
Slip in for Zampa by the way..., no run," Zampa drops his handkershief, bowls the skidder and Shreyas Iyer is hurried onto the backfoot to push it back to the bowler"
Zampa to Kohli, 1 run," the googly turns back in towards the pads, Kohli turns it away off the frontfoot towards short fine leg for a single"
Zampa to Kohli, 2 runs," overspinner just outside off, punched off the backfoot with an open face in front of point towards the fence for a couple"
Zampa to Kohli, FOUR," short ball, an abomination of a half-tracker outside off, Kohli gets back and drags it with a pull right into the gap at cow corner for four!"
Adam Zampa [9.0-0-36-1] is back into the attack, FOUR," short ball, an abomination of a half-tracker outside off, Kohli gets back and drags it with a pull right into the gap at cow corner for four!"
Hazlewood to Shreyas Iyer, FOUR," 141.1km/h, short ball at the stumps, Shreyas Iyer backs away into the on-side and slashes it away square of the wicket for four! Excellent shot, and the required rate has now dropped below six!"
Hazlewood to Shreyas Iyer, FOUR," the old one-two, follows up a few short balls with a half-volley. Shreyas Iyer is a moving target, shuffling across initially and then backing away into the on-side to cream it through the covers for four"
Hazlewood to Shreyas Iyer, no run," angles it in from a short length, Shreyas Iyer backs away and tries to hack it away with a cut, misses it completely"
Hazlewood to Shreyas Iyer, 2 runs," short ball, he's pulled it in an ungainly manner, top-edge and off the shoulder of the bat, in the air for quite a while towards cow corner, and that's landed waaaaay short of the deep fielder. A brace for Iyer"
Hazlewood to Shreyas Iyer, no run," no width, back of a length ball, right on the top of off, Shreyas Iyer short-arms this cross-batted slap straight to mid-off, albeit, along the ground"
Hazlewood to Kohli, 1 run," short of length delivery just outside off, punched off the backfoot square of the wicket for a single"
Josh Hazlewood [7.0-1-29-0] is back into the attack, 1 run," short of length delivery just outside off, punched off the backfoot square of the wicket for a single"
Starc to Shreyas Iyer, no run," 141.6km/h, short one into the gut, tucked off a jump into the on-side"
Starc to Shreyas Iyer, FOUR," wide yorker, Shreyas Iyer just opens the face of the bat and steers it past cover point, but the outfield is far too quick and beats Labuschagne to the sweeper cover fence! India edge closer!"
Starc to Kohli, 1 run," fuller length delivery outside off, driven to mid-off for a single"
Starc to Shreyas Iyer, 1 run," short of length delivery on off, Kohli hops with the bounce, taps it on the head to glide it towards backward point for a single"
Starc to Kohli, 1 run," 138km/h, Kohli opens the face after a stride forward to slice an overpitched ball square of the wicket for a single"
Starc to Kohli, no run," 140.1km/h, fuller length ball on middle, clipped towards short midwicket"
Starc to Kohli, wide," angling down leg, Kohli misses the glance, and that's taken by the 'keeper. 15 seconds, and Finch's time is up! There might have been some thigh pad. Yep."
Agar to Shreyas Iyer, no run," tossed up nicely, inviting the drive, Shreyas Iyer obliges with a checked one towards cover"
Agar to Shreyas Iyer, no run," straightens from a length on leg-stump, nudged hastily off the backfoot towards square leg"
Agar to Kohli, 1 run," angling into the pads, and that's tickled away towards backward square leg for a single"
Agar to Shreyas Iyer, 1 run," slows it down, a length ball on off-stump, and thats pushed away through the gap at the point region for one"
Agar to Kohli, 1 run," gets across to a loopy delivery, tries flicking it towards the on-side, gets a leading edge in front of point for a single"
Agar to Kohli, no run," loopy delivery just outside off, Kohli drives inside out, gets a thick outside edge towards point"
Starc to Shreyas Iyer, no run," 138km/h, good length delivery just outside off, Shreyas Iyer steps forward and checks a drive towards cover"
Starc to Shreyas Iyer, no run," 138.5km/h, good length ball just outside off, Shreyas Iyer opens the face and guides it straight to a pseudo-gully"
Starc to Shreyas Iyer, FOUR," short and absolutely no width, but he's absolutely nailed the carve square of the wicket for four! Incredible shot!"
Starc to Shreyas Iyer, no run," short of length ball on off, tapped on the head towards cover - underarmed by Warner towards the stumps, and he misses"
Starc to Kohli, 1 run," another half-volley on the off-stump, Kohli clips it away towards cow corner for a single"
Starc to Kohli, no run," 140km/h, full-pitched ball outside off, and that's a full-fledged, compact check-drive to the man at cover"
The Chase Master: 7000 runs batting second for Virat Kohli in 133 innings in ODIs - second player to do so after Sachin Tendulkar (8720 runs in 232 innings)., no run," 140km/h, full-pitched ball outside off, and that's a full-fledged, compact check-drive to the man at cover"
Agar to Shreyas Iyer, no run," sharp turn, but far too slow and from far too short a length, as this is poked away with ease by Iyer towards point"
Agar to Shreyas Iyer, no run," tossed up full on middle and off, Kohli gets forward, opens the face, and steers it towards point"
Agar to Kohli, 1 run," loopy and full, makes cbat"
Agar to Shreyas Iyer, 1 run," zips through towards the pads, nudged off the backfoot towards square leg for a single"
Agar to Kohli, 1 run," onto the pads again, turned away to midwicket for a quick single"
Agar to Kohli, 1 run, to mid-wicket
Agar to Kohli, FOUR," holds up from a decent length, Kohli rocks back and short-arms a pull towards the deep midwicket fence for four. That dive from Marnus is in vain"
Ashton Agar [8.0-0-28-1] is back into the attack, FOUR," holds up from a decent length, Kohli rocks back and short-arms a pull towards the deep midwicket fence for four. That dive from Marnus is in vain"
Starc to Kohli, 1 run," short of length from round the wicket, 142.5km/h, a hop and a tuck after a shuffle across towards the backward square leg fence for a single"
Starc to Shreyas Iyer, 1 run," 139.8km/h, short of length ball just outside off, Shreyas Iyer hops on the crease to tap it on the head, guiding it to backward point for one"
Rohit vs Zampa in ODIs124 balls119 runsFour dismissalsSR 95.97That's the most Rohit has got out to a spinner., 1 run," 139.8km/h, short of length ball just outside off, Shreyas Iyer hops on the crease to tap it on the head, guiding it to backward point for one"
Starc to Kohli, 1 run," 142.9km/h, short of length ball on off-stump, Kohli rides the bounce and taps it late on the head to run it down towards third man for a single"
Starc to Kohli, no run," good length delivery just outside off, 143.6km/h, punched to cover off the forward press"
Starc to Shreyas Iyer, 1 run," over the wicket and banged in short, 139km/h, tapped on the head towards cover point as the fielder, Warner, picks up and scores a direct-hit at the non-striker's end. He's made it easily, Shreyas Iyer, but that's a great throw"
Starc to Kohli, 1 run," back of a length slower delivery @129km/h, tucked off a hop to square leg for a quick single"
Mitchell Starc [4.0-0-28-0] is back into the attack, 1 run," back of a length slower delivery @129km/h, tucked off a hop to square leg for a quick single"
Zampa to Shreyas Iyer, no run," tossed up on middle and off, nudged softly from the crease towards short midwicket"
Zampa to Kohli, 1 run," leg-break, far too full, Kohli reaches out and clips it away to deep square leg for a single"
Zampa to Rohit, no run, loopy one spinning back in: the googly. Rohit charges down and defends down the wrong line - but he's come too far down the wicket. No appeal
Zampa to Rohit, no run," skids through on leg-stump, tucked away off the backfoot towards square leg"
Zampa to Kohli, 1 run," plays for too much turn on that leg-break, miscues the inside out check-drive towards midwicket off the inside edge for a single to midwicket"
Cummins to Kohli, 1 run," good length delivery outside off stump, Kohli punches it to sweeper cover"
Cummins to Kohli, 2 runs," short and wide now. What's happened to Cummo? Kohli slashes high over backward point, the man in the deep dives around to tidy up"
Cummins to Kohli, FOUR, oh wow! Look at him hold the pose and balance after playing a brilliant on-drive. Cummo overpitched this right in the slot for Kohli to play a neat drive. The tension in the purple group is increasing!
